t,x,y,los_clearance,soft_occ_cost,point_obstacle_clearance
0,-4.0,0.0,0.09172610429938616,0.0,3.4578865529319542
1,-3.620001213603243,0.05300440275035888,0.08681294828256247,0.0,3.089215583726259
2,-3.234137605191236,0.10655123982937151,0.08148915622704833,0.0,2.7187469578546106
3,-2.8365401591333312,0.1611632615163258,0.07573480751988926,0.0,2.342935893696026
4,-2.4213296014379204,0.21732541428020113,0.06952479561555491,0.0,1.9601431839202208
5,-1.9826166911128362,0.2754723416999135,0.0628300894684426,0.0,1.5729197171770508
6,-1.514502953618063,0.33597277039258283,0.05562069767578348,0.0,1.1940775997880717
7,-1.0110821777791508,0.3991194010705809,0.04786565302814677,0.0,0.8637310598080102
8,-0.46643965061065296,0.4651147400636251,0.039535368233597046,0.0,0.685429282126362
9,0.1253508122828778,0.5340597500547318,0.030602751519848315,0.0,0.6410153975056496
10,0.77022935844394,0.6059448317131362,0.021042506426521113,0.0,0.10615131631364605
11,1.474152587257819,0.6806364726968372,0.22167625328922103,0.0,0.22167625328922103
12,2.24309318170995,0.757869527762663,0.9164548250923296,0.0,0.9164548250923296
13,3.0830400301474277,0.8372371146383351,1.7393892705879033,0.0,1.7393892705879033
14,4.0,0.9181835410047386,2.6511154481230013,0.0,2.6511154481230013
15,5.0,1.0,3.65,0.0,3.65
