t,x,y,los_clearance,point_clearance
0,0.0,3.0,0.17017367294604208,1.7860679774997898
1,0.6363998171137274,3.363631730377586,0.17015879853247057,1.226277485031039
2,1.2727965470459528,3.72726535687954,0.17014300882319205,0.8516418201176386
3,1.9091864175932376,4.090902919309811,0.17012904282901903,0.644594725138999
4,2.545566012069031,4.4545456347916925,0.17012034348727462,0.1927456600359327
5,3.18193413717697,4.8181909319067,0.3881744635364897,0.3881744635364897
6,3.8182918441304103,5.181836674287178,0.7457239558525637,0.7457239558525639
7,4.454642650139416,5.545478687783251,1.1609637841112477,1.1609637841112477
8,5.09098782576417,5.909115410230083,1.7488579048095871,1.7488579048095871
9,5.727327905014897,6.272747487037062,2.4046528390115025,2.4046528390115025
10,6.3636645616459715,6.636375253095592,3.0908169445928557,3.0908169445928557
11,7.0,7.0,3.7926406871192846,3.7926406871192846
